Comp_Name,Job_Title,Location,Skill_Name
2CooM,Developer," 
6th of October, Giza",odoo development
2CooM,Developer," 
6th of October, Giza",odoo erp
BBI-Consultancy,Senior Technical Project Manager," 
Nasr City, Cairo",agile
BBI-Consultancy,Senior Technical Project Manager," 
Nasr City, Cairo",computer science
BBI-Consultancy,Senior Technical Project Manager," 
Nasr City, Cairo",english
BBI-Consultancy,Senior Technical Project Manager," 
Nasr City, Cairo",information technology (it)
BBI-Consultancy,Senior Technical Project Manager," 
Nasr City, Cairo",project management
BBI-Consultancy,Senior Technical Project Manager," 
Nasr City, Cairo",scrum master
BBI-Consultancy,Senior Technical Project Manager," 
Nasr City, Cairo",project manager
BBI-Consultancy,Senior Technical Project Manager," 
Nasr City, Cairo",scrum
BBI-Consultancy,Senior Technical Project Manager," 
Nasr City, Cairo",agile project management
LCM North Africa Middle East,IT Administrator," 
10th of Ramadan City, Cairo",computer science
LCM North Africa Middle East,IT Administrator," 
10th of Ramadan City, Cairo",information technology (it)
LCM North Africa Middle East,IT Administrator," 
10th of Ramadan City, Cairo",it administrator
LCM North Africa Middle East,IT Administrator," 
10th of Ramadan City, Cairo",it
LCM North Africa Middle East,IT Administrator," 
10th of Ramadan City, Cairo",system administration
Confidential Company,Laravel PHP Developer - Part-Time Position,"Cairo, Egypt",laravel
Confidential Company,Laravel PHP Developer - Part-Time Position,"Cairo, Egypt",back end
Sceel.io,SAP Presales," 
Maadi, Cairo",management
Sceel.io,SAP Presales," 
Maadi, Cairo",presales
Sceel.io,SAP Presales," 
Maadi, Cairo",sales skills
Sceel.io,SAP Presales," 
Maadi, Cairo",sap
Sceel.io,SAP Presales," 
Maadi, Cairo",sales
Saint-Gobain,MKT2 Developer," 
Ain Sokhna, Suez",mechanics
Saint-Gobain,MKT2 Developer," 
Ain Sokhna, Suez",video editing
Saint-Gobain,MKT2 Developer," 
Ain Sokhna, Suez",graphics
Saint-Gobain,MKT2 Developer," 
Ain Sokhna, Suez",microsoft office
Saint-Gobain,MKT2 Developer," 
Ain Sokhna, Suez",computer skills
Saint-Gobain,MKT2 Developer," 
Ain Sokhna, Suez",mechanical engineering
Saint-Gobain,MKT2 Developer," 
Ain Sokhna, Suez",electrical engineering
Saint-Gobain,MKT2 Developer," 
Ain Sokhna, Suez",engineering
Saint-Gobain,MKT2 Developer," 
Ain Sokhna, Suez",chemical science
Saint-Gobain,MKT2 Developer," 
Ain Sokhna, Suez",wcm
Saint-Gobain,MKT2 Developer," 
Ain Sokhna, Suez",ehs
Saint-Gobain,MKT2 Developer," 
Ain Sokhna, Suez",iso 9000
Saint-Gobain,MKT2 Developer," 
Ain Sokhna, Suez",ohsas 18000
Saint-Gobain,MKT2 Developer," 
Ain Sokhna, Suez",iso 14000
Saint-Gobain,MKT2 Developer," 
Ain Sokhna, Suez",mkt2
Saint-Gobain,MKT2 Developer," 
Ain Sokhna, Suez",troubleshooting
Saint-Gobain,MKT2 Developer," 
Ain Sokhna, Suez",manufacturing
Edentech,Flutter Developer," 
Heliopolis, Cairo",computer science
Edentech,Flutter Developer," 
Heliopolis, Cairo",flutter
Edentech,Flutter Developer," 
Heliopolis, Cairo",information technology (it)
Edentech,Flutter Developer," 
Heliopolis, Cairo",mobile development
Edentech,Flutter Developer," 
Heliopolis, Cairo",software development
Edentech,Flutter Developer," 
Heliopolis, Cairo",ios
Edentech,Flutter Developer," 
Heliopolis, Cairo",json
Edentech,Flutter Developer," 
Heliopolis, Cairo",restful
Edentech,Flutter Developer," 
Heliopolis, Cairo",redux
Nile Sugar,IT Director," 
Agouza, Giza",mba
Nile Sugar,IT Director," 
Agouza, Giza",information technology
Nile Sugar,IT Director," 
Agouza, Giza",management
Nile Sugar,IT Director," 
Agouza, Giza",computer science
Nebras Technology,.NET Software Developer," 
Dokki, Giza",javascript
Nebras Technology,.NET Software Developer," 
Dokki, Giza",typescript
Nebras Technology,.NET Software Developer," 
Dokki, Giza",web development
Nebras Technology,.NET Software Developer," 
Dokki, Giza",computer science
Nebras Technology,.NET Software Developer," 
Dokki, Giza",software engineering
Nebras Technology,.NET Software Developer," 
Dokki, Giza",software development
Nebras Technology,.NET Software Developer," 
Dokki, Giza",webpack
Nebras Technology,.NET Software Developer," 
Dokki, Giza",mongodb
Nebras Technology,.NET Software Developer," 
Dokki, Giza",c#
Nebras Technology,.NET Software Developer," 
Dokki, Giza",c#.net
Nebras Technology,.NET Software Developer," 
Dokki, Giza",mvc
Nebras Technology,.NET Software Developer," 
Dokki, Giza",sql
Nebras Technology,.NET Software Developer," 
Dokki, Giza",html5
Nebras Technology,.NET Software Developer," 
Dokki, Giza",microsoft visual studio
Nebras Technology,.NET Software Developer," 
Dokki, Giza",asp.net
Nebras Technology,.NET Software Developer," 
Dokki, Giza",.net core
Nebras Technology,.NET Software Developer," 
Dokki, Giza",oop
Nebras Technology,.NET Software Developer," 
Dokki, Giza",css
Nebras Technology,.NET Software Developer," 
Dokki, Giza",.net
Link Datacenter,Network Security Engineer," 
Maadi, Cairo",ccie
Link Datacenter,Network Security Engineer," 
Maadi, Cairo",ccnp
Link Datacenter,Network Security Engineer," 
Maadi, Cairo",computer
Link Datacenter,Network Security Engineer," 
Maadi, Cairo",computer science
Link Datacenter,Network Security Engineer," 
Maadi, Cairo",engineering
Link Datacenter,Network Security Engineer," 
Maadi, Cairo",information technology (it)
Link Datacenter,Network Security Engineer," 
Maadi, Cairo",network
Link Datacenter,Network Security Engineer," 
Maadi, Cairo",network engineering
Link Datacenter,Network Security Engineer," 
Maadi, Cairo",networking
Link Datacenter,Network Security Engineer," 
Maadi, Cairo",security
Link Datacenter,Network Security Engineer," 
Maadi, Cairo",tcp/ip
Link Datacenter,Network Security Engineer," 
Maadi, Cairo",ip
Link Datacenter,Network Security Engineer," 
Maadi, Cairo",cisco firewall
Link Datacenter,Network Security Engineer," 
Maadi, Cairo",firewall
Link Datacenter,Network Security Engineer," 
Maadi, Cairo",microsoft
Edentech,Senior Business Analyst," 
Heliopolis, Cairo",business analysis
Edentech,Senior Business Analyst," 
Heliopolis, Cairo",business development
Edentech,Senior Business Analyst," 
Heliopolis, Cairo",agile software development
Edentech,Senior Business Analyst," 
Heliopolis, Cairo",agile methodologies
Edentech,Senior Business Analyst," 
Heliopolis, Cairo",user stories
Edentech,Senior Business Analyst," 
Heliopolis, Cairo",business requirement document (brd)
Edentech,Senior Business Analyst," 
Heliopolis, Cairo",software analysis document
Edentech,Senior Business Analyst," 
Heliopolis, Cairo",jira
Edentech,Senior Business Analyst," 
Heliopolis, Cairo",visio
Webhelp,Head OF IT," 
New Cairo, Cairo",it manager
Webhelp,Head OF IT," 
New Cairo, Cairo",information technology (it)
Nile Projects & Trading,Product Manager (Automotive Sector)," 
6th of October, Giza",communication
Nile Projects & Trading,Product Manager (Automotive Sector)," 
6th of October, Giza",computer science
Nile Projects & Trading,Product Manager (Automotive Sector)," 
6th of October, Giza",information technology (it)
Nile Projects & Trading,Product Manager (Automotive Sector)," 
6th of October, Giza",engineering
Nile Projects & Trading,Product Manager (Automotive Sector)," 
6th of October, Giza",product management
Nile Projects & Trading,Product Manager (Automotive Sector)," 
6th of October, Giza",software development
Nile Projects & Trading,Product Manager (Automotive Sector)," 
6th of October, Giza",sales
Nile Projects & Trading,Product Manager (Automotive Sector)," 
6th of October, Giza",marketing
Nile Projects & Trading,Product Manager (Automotive Sector)," 
6th of October, Giza",management
Horalix,Django Python Programmer with Experience in Ethical Hacking," 
Nasr City, Cairo",django
Horalix,Django Python Programmer with Experience in Ethical Hacking," 
Nasr City, Cairo",django framework
Horalix,Django Python Programmer with Experience in Ethical Hacking," 
Nasr City, Cairo",vue.js
Horalix,Django Python Programmer with Experience in Ethical Hacking," 
Nasr City, Cairo",ethical hacking
Horalix,Django Python Programmer with Experience in Ethical Hacking," 
Nasr City, Cairo",firebase
Tidal,Software Account Manager," 
Cairo, Egypt",erp
Tidal,Software Account Manager," 
Cairo, Egypt",sales
Tidal,Software Account Manager," 
Cairo, Egypt",sales skills
Tidal,Software Account Manager," 
Cairo, Egypt",sales target
Tidal,Software Account Manager," 
Cairo, Egypt",services
Tidal,Software Account Manager," 
Cairo, Egypt",software
Tidal,Software Account Manager," 
Cairo, Egypt",marketing
Tidal,Software Account Manager," 
Cairo, Egypt",customer service
Tidal,Software Account Manager," 
Cairo, Egypt",outdoor sales
Tidal,Software Account Manager," 
Cairo, Egypt",indoor sales
Tidal,Software Account Manager," 
Cairo, Egypt",hcm
Tidal,Software Account Manager," 
Cairo, Egypt",information technology (it)
Tidal,Software Account Manager," 
Cairo, Egypt",software sales
Tidal,Software Account Manager," 
Cairo, Egypt",projects
Tidal,Software Account Manager," 
Cairo, Egypt",skills
Kyan Labs,Front End Developer React js," 
Maadi, Cairo",javascript
Kyan Labs,Front End Developer React js," 
Maadi, Cairo",xhr
Kyan Labs,Front End Developer React js," 
Maadi, Cairo",vue.js
Kyan Labs,Front End Developer React js," 
Maadi, Cairo",ui/ux
Kyan Labs,Front End Developer React js," 
Maadi, Cairo",git
Kyan Labs,Front End Developer React js," 
Maadi, Cairo",css
Kyan Labs,Front End Developer React js," 
Maadi, Cairo",saas
Kyan Labs,Front End Developer React js," 
Maadi, Cairo",html
Kyan Labs,Front End Developer React js," 
Maadi, Cairo",flexbox
Kyan Labs,Front End Developer React js," 
Maadi, Cairo",bootstrap
Kyan Labs,Front End Developer React js," 
Maadi, Cairo",svg
Kyan Labs,Front End Developer React js," 
Maadi, Cairo",json
Kyan Labs,Front End Developer React js," 
Maadi, Cairo",xml
Kyan Labs,Front End Developer React js," 
Maadi, Cairo",api
Kyan Labs,Front End Developer React js," 
Maadi, Cairo",information technology (it)
Kyan Labs,Front End Developer React js," 
Maadi, Cairo",software development
Kyan Labs,Front End Developer React js," 
Maadi, Cairo",computer science
Kyan Labs,Front End Developer React js," 
Maadi, Cairo",framework
Kyan Labs,Front End Developer React js," 
Maadi, Cairo",reactjs
Kyan Labs,Front End Developer React js," 
Maadi, Cairo",front-end
Confidential Company,IT Backup Engineer,"Cairo, Egypt",computer science
Confidential Company,IT Backup Engineer,"Cairo, Egypt",mcsa
Confidential Company,IT Backup Engineer,"Cairo, Egypt",information technology (it)
Puffin,Senior UI/UX Designer," 
Sheikh Zayed, Giza",ui/ux
Puffin,Senior UI/UX Designer," 
Sheikh Zayed, Giza",ui
Puffin,Senior UI/UX Designer," 
Sheikh Zayed, Giza",ux design
Puffin,Senior UI/UX Designer," 
Sheikh Zayed, Giza",ux
Puffin,Senior UI/UX Designer," 
Sheikh Zayed, Giza",ui/ux design
Puffin,Senior UI/UX Designer," 
Sheikh Zayed, Giza",sketch
Puffin,Senior UI/UX Designer," 
Sheikh Zayed, Giza",design
Puffin,Senior UI/UX Designer," 
Sheikh Zayed, Giza",figma
Sketch-tech,Full Stack Developer," 
Glim, Alexandria",full stack
Sketch-tech,Full Stack Developer," 
Glim, Alexandria",full stack developer
Sketch-tech,Full Stack Developer," 
Glim, Alexandria",computer science
Sketch-tech,Full Stack Developer," 
Glim, Alexandria",software development
Confidential Company,Senior Backend Developer (.NET Core),"Cairo, Egypt",software development
Confidential Company,Senior Backend Developer (.NET Core),"Cairo, Egypt",information technology (it)
Tidal,Dot Net Web Developer," 
Cairo, Egypt",development
Tidal,Dot Net Web Developer," 
Cairo, Egypt",software development
Tidal,Dot Net Web Developer," 
Cairo, Egypt",computer science
Tidal,Dot Net Web Developer," 
Cairo, Egypt",information technology (it)
Tidal,Dot Net Web Developer," 
Cairo, Egypt",program development
Tidal,Dot Net Web Developer," 
Cairo, Egypt",erp applications
Tidal,Dot Net Web Developer," 
Cairo, Egypt",apis
Tidal,Dot Net Web Developer," 
Cairo, Egypt",devops
Tidal,Dot Net Web Developer," 
Cairo, Egypt",javascript
Tidal,Dot Net Web Developer," 
Cairo, Egypt",mongodb
Tidal,Dot Net Web Developer," 
Cairo, Egypt",ms sql
Tidal,Dot Net Web Developer," 
Cairo, Egypt",rest
Tidal,Dot Net Web Developer," 
Cairo, Egypt",sql
Tidal,Dot Net Web Developer," 
Cairo, Egypt",full stack
Tidal,Dot Net Web Developer," 
Cairo, Egypt",net core -mvc-asp
Tidal,Dot Net Web Developer," 
Cairo, Egypt",mvc
Tidal,Dot Net Web Developer," 
Cairo, Egypt",software
Tidal,Dot Net Web Developer," 
Cairo, Egypt",bootstrap
Tidal,Dot Net Web Developer," 
Cairo, Egypt",agile
Tidal,Dot Net Web Developer," 
Cairo, Egypt",angular
Tidal,Dot Net Web Developer," 
Cairo, Egypt",jquery
Tidal,Dot Net Web Developer," 
Cairo, Egypt",ajax
Tidal,Dot Net Web Developer," 
Cairo, Egypt",.net
Tidal,Dot Net Web Developer," 
Cairo, Egypt",web api
Osolutions,Full Stack wordpress Developer," 
Sheraton, Cairo",angular
Osolutions,Full Stack wordpress Developer," 
Sheraton, Cairo",wordpress
Osolutions,Full Stack wordpress Developer," 
Sheraton, Cairo",laravel php
Osolutions,Full Stack wordpress Developer," 
Sheraton, Cairo",javascript
Osolutions,Full Stack wordpress Developer," 
Sheraton, Cairo",php
Osolutions,Full Stack wordpress Developer," 
Sheraton, Cairo",software development
Osolutions,Full Stack wordpress Developer," 
Sheraton, Cairo",jquery
Confidential Company,Senior Odoo Developer - (Onsite),"Cairo, Egypt",odoo
Confidential Company,Senior Odoo Developer - (Onsite),"Cairo, Egypt",information technology (it)
Confidential Company,Senior Odoo Developer - (Onsite),"Cairo, Egypt",erp
Confidential Company,Senior Odoo Developer - (Onsite),"Cairo, Egypt",odoo erp
Confidential Company,Senior Odoo Developer - (Onsite),"Cairo, Egypt",accounting
Confidential Company,Senior Odoo Developer - (Onsite),"Cairo, Egypt",computer science
Confidential Company,Senior Odoo Developer - (Onsite),"Cairo, Egypt",odoo development
Confidential Company,Senior Odoo Developer - (Onsite),"Cairo, Egypt",odoo fanctional
Confidential Company,Senior Odoo Developer - (Onsite),"Cairo, Egypt",python
Confidential Company,Senior Odoo Developer - (Onsite),"Cairo, Egypt",python development
Confidential Company,Senior Odoo Developer - (Onsite),"Cairo, Egypt",mvc
Confidential Company,Senior Odoo Developer - (Onsite),"Cairo, Egypt",xml
Confidential Company,Senior Odoo Developer - (Onsite),"Cairo, Egypt",odoo maintenance
Confidential Company,Senior Odoo Developer - (Onsite),"Cairo, Egypt",openerp
Confidential Company,Senior Odoo Developer - (Onsite),"Cairo, Egypt",software development
Confidential Company,Senior Odoo Developer - (Onsite),"Cairo, Egypt",postgresql
Confidential Company,Senior Odoo Developer - (Onsite),"Cairo, Egypt",python scripting
Safa Soft,Front End Developer," 
Maadi, Cairo",angular
Safa Soft,Front End Developer," 
Maadi, Cairo",computer science
Safa Soft,Front End Developer," 
Maadi, Cairo",css
Safa Soft,Front End Developer," 
Maadi, Cairo",engineering
Safa Soft,Front End Developer," 
Maadi, Cairo",front-end
Safa Soft,Front End Developer," 
Maadi, Cairo",git
Safa Soft,Front End Developer," 
Maadi, Cairo",html
Safa Soft,Front End Developer," 
Maadi, Cairo",information technology (it)
Safa Soft,Front End Developer," 
Maadi, Cairo",react
Safa Soft,Front End Developer," 
Maadi, Cairo",software development
Safa Soft,Front End Developer," 
Maadi, Cairo",web development
Safa Soft,Front End Developer," 
Maadi, Cairo",javascript
Nahdet Misr Publishing Group,IT Clerk," 
Giza, Egypt",it
Nahdet Misr Publishing Group,IT Clerk," 
Giza, Egypt",information technology (it)
Nahdet Misr Publishing Group,IT Clerk," 
Giza, Egypt",computer
Nahdet Misr Publishing Group,SAP SD CX function consultant," 
Giza, Egypt",computer science
Nahdet Misr Publishing Group,SAP SD CX function consultant," 
Giza, Egypt",information technology (it)
Nahdet Misr Publishing Group,SAP SD CX function consultant," 
Giza, Egypt",sap
iStoria,Senior Backend Developer (PHP)," 
Cairo, Egypt",backend
iStoria,Senior Backend Developer (PHP)," 
Cairo, Egypt",vue js
iStoria,Senior Backend Developer (PHP)," 
Cairo, Egypt",laravel
iStoria,Senior Backend Developer (PHP)," 
Cairo, Egypt",php
iStoria,Senior Backend Developer (PHP)," 
Cairo, Egypt",aws
iStoria,Senior Backend Developer (PHP)," 
Cairo, Egypt",js
iStoria,Senior Backend Developer (PHP)," 
Cairo, Egypt",full stack development
iStoria,Senior Backend Developer (PHP)," 
Cairo, Egypt",engineering
iStoria,Senior Backend Developer (PHP)," 
Cairo, Egypt",information technology (it)
iStoria,Senior Backend Developer (PHP)," 
Cairo, Egypt",software engineering
iStoria,Senior Backend Developer (PHP)," 
Cairo, Egypt",backend development
iStoria,Senior Backend Developer (PHP)," 
Cairo, Egypt",computer science
iStoria,Senior Backend Developer (PHP)," 
Cairo, Egypt",software development
iStoria,Senior Backend Developer (PHP)," 
Cairo, Egypt",restful
iStoria,Senior Backend Developer (PHP)," 
Cairo, Egypt",development
Safa Soft,UX Designer," 
Maadi, Cairo",adobe
Safa Soft,UX Designer," 
Maadi, Cairo",adobe photoshop
Safa Soft,UX Designer," 
Maadi, Cairo",ux
Safa Soft,UX Designer," 
Maadi, Cairo",computer science
Safa Soft,UX Designer," 
Maadi, Cairo",design
Safa Soft,UX Designer," 
Maadi, Cairo",information technology (it)
Safa Soft,UX Designer," 
Maadi, Cairo",photoshop
Safa Soft,UX Designer," 
Maadi, Cairo",ux design
Safa Soft,UX Designer," 
Maadi, Cairo",graphic design
Safa Soft,UX Designer," 
Maadi, Cairo",ui
Fruitful Solutions,C++ / Qt Developer," 
New Nozha, Cairo",c++
Fruitful Solutions,C++ / Qt Developer," 
New Nozha, Cairo",qt
Fruitful Solutions,C++ / Qt Developer," 
New Nozha, Cairo",javascript
Fruitful Solutions,C++ / Qt Developer," 
New Nozha, Cairo",c
Fruitful Solutions,C++ / Qt Developer," 
New Nozha, Cairo",html
Fruitful Solutions,C++ / Qt Developer," 
New Nozha, Cairo",sql
Fruitful Solutions,C++ / Qt Developer," 
New Nozha, Cairo",xml
Fruitful Solutions,C++ / Qt Developer," 
New Nozha, Cairo",design
Fruitful Solutions,C++ / Qt Developer," 
New Nozha, Cairo",information technology (it)
Fruitful Solutions,C++ / Qt Developer," 
New Nozha, Cairo",computer science
Fruitful Solutions,C++ / Qt Developer," 
New Nozha, Cairo",software development
Fruitful Solutions,C++ / Qt Developer," 
New Nozha, Cairo",programming
Fruitful Solutions,C++ / Qt Developer," 
New Nozha, Cairo",python
Fruitful Solutions,C++ / Qt Developer," 
New Nozha, Cairo",software
Fruitful Solutions,C++ / Qt Developer," 
New Nozha, Cairo",software engineering
Fruitful Solutions,C++ / Qt Developer," 
New Nozha, Cairo",.net
Fruitful Solutions,C++ / Qt Developer," 
New Nozha, Cairo",testing
Fruitful Solutions,C++ / Qt Developer," 
New Nozha, Cairo",git
Fruitful Solutions,C++ / Qt Developer," 
New Nozha, Cairo",linux
Fruitful Solutions,C++ / Qt Developer," 
New Nozha, Cairo",mysql
Confidential Company,Software Development Team Leader,"Cairo, Egypt",development
Confidential Company,Software Development Team Leader,"Cairo, Egypt",computer science
Confidential Company,Software Development Team Leader,"Cairo, Egypt",software engineering
Confidential Company,Software Development Team Leader,"Cairo, Egypt",software development
Confidential Company,Software Development Team Leader,"Cairo, Egypt",team leader
Sky Distribution,Application Support - Microsoft dynamic Ax," 
Sheikh Zayed, Giza",dynamics ax
Sky Distribution,Application Support - Microsoft dynamic Ax," 
Sheikh Zayed, Giza",dynamics ax 2012
Sky Distribution,Application Support - Microsoft dynamic Ax," 
Sheikh Zayed, Giza",microsoft dynamics ax
Sky Distribution,Application Support - Microsoft dynamic Ax," 
Sheikh Zayed, Giza",microsoft dynamics
Sky Distribution,Application Support - Microsoft dynamic Ax," 
Sheikh Zayed, Giza",ax
Sky Distribution,Application Support - Microsoft dynamic Ax," 
Sheikh Zayed, Giza",erp
Sky Distribution,Application Support - Microsoft dynamic Ax," 
Sheikh Zayed, Giza",dynamics
Sky Distribution,Application Support - Microsoft dynamic Ax," 
Sheikh Zayed, Giza",application support
Confidential Company,Senior Database Administrator,"Cairo, Egypt",software development
Confidential Company,Senior Database Administrator,"Cairo, Egypt",it
Confidential Company,Senior Database Administrator,"Cairo, Egypt",information technology (it)
Confidential Company,Senior Database Administrator,"Cairo, Egypt",computer science
Confidential Company,Senior Database Administrator,"Cairo, Egypt",communication
Confidential Company,Senior Database Administrator,"Cairo, Egypt",software engineering
Confidential Company,Senior Database Administrator,"Cairo, Egypt",english
Softec Technologies,Senior Scrum Master," 
Cairo, Egypt",agile
Softec Technologies,Senior Scrum Master," 
Cairo, Egypt",agile methodology
Softec Technologies,Senior Scrum Master," 
Cairo, Egypt",communication
Softec Technologies,Senior Scrum Master," 
Cairo, Egypt",computer science
Softec Technologies,Senior Scrum Master," 
Cairo, Egypt",information technology (it)
Softec Technologies,Senior Scrum Master," 
Cairo, Egypt",project management
Softec Technologies,Senior Scrum Master," 
Cairo, Egypt",scrum master
Softec Technologies,Senior Scrum Master," 
Cairo, Egypt",scrum
Injaz Tech for advanced systems,IT Sales Manager (integrated solutions)," 
Heliopolis, Cairo",business
Injaz Tech for advanced systems,IT Sales Manager (integrated solutions)," 
Heliopolis, Cairo",sales
Injaz Tech for advanced systems,IT Sales Manager (integrated solutions)," 
Heliopolis, Cairo",information technology (it)
Injaz Tech for advanced systems,IT Sales Manager (integrated solutions)," 
Heliopolis, Cairo",sales skills
Injaz Tech for advanced systems,IT Sales Manager (integrated solutions)," 
Heliopolis, Cairo",it
Confidential Company,Developer Engineer .NET,"Cairo, Egypt",ajax
Confidential Company,Developer Engineer .NET,"Cairo, Egypt",apis
Confidential Company,Developer Engineer .NET,"Cairo, Egypt",computer science
Confidential Company,Developer Engineer .NET,"Cairo, Egypt",css
Confidential Company,Developer Engineer .NET,"Cairo, Egypt",design
Confidential Company,Developer Engineer .NET,"Cairo, Egypt",html
Confidential Company,Developer Engineer .NET,"Cairo, Egypt",information technology (it)
