Comp_Name,Title,Location,Job_Type
Easy Cash,Senior Backend Developer (PHP)," 
Heliopolis, Cairo",Full Time
Easy Cash,DevOps Engineer," 
Heliopolis, Cairo",Full Time
TRIMETIS,Senior Full Stack Developer Angular and Java," 
Maadi, Cairo",Full Time
TRIMETIS,Senior Full Stack Developer Angular and Java," 
Maadi, Cairo",Work From Home
Confidential Company,Full Stack Team Lead,"Cairo, Egypt",Full Time
Tafeel,Senior Quality Control Engineer," 
Nasr City, Cairo",Full Time
Latalia,IT Account Manager," 
Cairo, Egypt",Work From Home
FlapKap,Sr. Backend Software Engineer," 
Maadi, Cairo",Full Time
MakanE Company,Senior Software Sales Representative," 
Cairo, Egypt",Full Time
JRM for Communications,Communications Field Engineer," 
Nasr City, Cairo",Full Time
JRM for Communications,Odoo Developer," 
Nasr City, Cairo",Full Time
Tafeel,Senior UI/UX Designer," 
Nasr City, Cairo",Full Time
Wicresoft,Technical Support Engineer-Freelancer," 
Cairo, Egypt",Freelance / Project
Confidential Company,IT Officer,"Cairo, Egypt",Full Time
BSmart,Senior Software Sales Representative," 
Maadi, Cairo",Full Time
Confidential Company,Senior Devops Engineer,"Cairo, Egypt",Full Time
Confidential Company,Technical Support Engineer,"Cairo, Egypt",Full Time
Confidential Company,IT Apps Delivery Manager,"Cairo, Egypt",Full Time
Confidential Company,Business Analyst,"Cairo, Egypt",Full Time
Jessour Misr,Junior IT Specialist," 
Abu Rawash, Giza",Full Time
Horizon Agency,Senior Full Stack Developer," 
New Cairo, Cairo",Full Time
Horizon Agency,WordPress Developer," 
New Cairo, Cairo",Full Time
LINK Development,.Net Development Manager," 
Maadi, Cairo",Full Time
Fawry for Banking Technology and Electronic Payments S.A.E,IT Help Desk Engineer," 
6th of October, Giza",Full Time
Perfect Presentation,Quality Control Engineer," 
6th of October, Giza",Full Time
AGA,Electrical Engineer," 
Aga, Dakahlia",Full Time
Safa Soft,Scrum Master," 
Maadi, Cairo",Full Time
Confidential Company,Network Engineer,"Cairo, Egypt",Full Time
Confidential Company,IT Help Desk Technician,"Cairo, Egypt",Full Time
ICIS,Full Stack Team Lead .Net & Angular," 
New Cairo, Cairo",Full Time
ICIS,Senior Full Stack Developer .Net + Angular," 
New Cairo, Cairo",Full Time
PETC,Senior SEO / Senior Search Engine Optimization," 
Mohandessin, Giza",Full Time
Confidential Company,Senior Backend Software Engineer - (.Net),"Cairo, Egypt",Full Time
Holix,Python Web Developer - Graduate Position," 
Cairo, Egypt",Full Time
BDO Esnad,IT Voice Administrator," 
Maadi, Cairo",Full Time
The Address Investments for Real Estate Consultancy,Senior SEO Specialist," 
New Cairo, Cairo",Full Time
Confidential Company,UI UX Designer,"Cairo, Egypt",Full Time
ACT Advanced Computer Technology,Network & Security Senior Specialist," 
Cairo, Egypt",Full Time
Confidential Company,IT Technical Support Specialist,"Cairo, Egypt",Full Time
intella,Backend Developer," 
Dokki, Giza",Full Time
Algoriza,Technical SME Engineer," 
Giza, Egypt",Full Time
Asset Technology Group,.Net Technical Lead," 
Sheraton, Cairo",Full Time
Asset Technology Group,Sr. Java Developer," 
Sheraton, Cairo",Full Time
Itqanconstruction,Interior Designer," 
New Cairo, Cairo",Full Time
Kgroup,Senior System and Network Administrator," 
Cairo, Egypt",Full Time
Kgroup,IT Help Desk," 
Cairo, Egypt",Full Time
Zewail City,Senior Backend Developer - Part Time," 
6th of October, Giza",Part Time
Technotown,Odoo Developer," 
Cairo, Egypt",Full Time
Kgroup,IT Operations Manager," 
Cairo, Egypt",Full Time
Safa Soft,Senior PHP Developer (Laravel)," 
Maadi, Cairo",Full Time
Smart Cards application,Senior Database Administrator," 
6th of October, Giza",Full Time
Cepack,Technical Support Specialist-Cairo," 
Cairo, Egypt",Full Time
Cepack,Technical Support Specialist," 
Bourj Alarab, Alexandria",Full Time
Informatique Education,Senior Front End Developer," 
Cairo, Egypt",Full Time
3D Diagnostix,Senior Back-End Developer (Node Js)," 
Maadi, Cairo",Full Time
Confidential Company,IT Help Desk,"Cairo, Egypt",Full Time
conveyou,Junior Application tester and quality control," 
Cairo, Egypt",Full Time
etmana,Senior Front End Developer Angular," 
Katameya, Cairo",Full Time
VAS Integrated Solutions,Cloud Architect," 
Cairo, Egypt",Full Time
Raya Holding for Financial Investments,Senior Engineer (Customer Services)," 
Cairo, Egypt",Full Time
Olivery,Technical Support Engineer," 
Cairo, Egypt",Full Time
Confidential Company,Second Line Support and Network & Data Engineer.,"Cairo, Egypt",Full Time
Confidential Company,Second Line Support and Systems & Security Engineer.,"Cairo, Egypt",Full Time
3S Software,Business Analyst," 
Nasr City, Cairo",Full Time
Confidential Company,Help Desk Engineer.,"Cairo, Egypt",Full Time
Alexandria Business Association- SMEs Project,Information & Network security Engineer," 
Mahta Alraml, Alexandria",Full Time
El Banna Group Company,IT Senior system admin- nearby to 10th of Ramadan," 
10th of Ramadan City, Sharqia",Full Time
ECONSTRUCT DESIGN & BUILD Pvt Ltd.,Drafter," 
Alexandria, Egypt",Full Time
Confidential Company,PHP Developer,"Cairo, Egypt",Full Time
Dimofinf Operations Center,Scrum Master," 
Nasr City, Cairo",Full Time
Confidential Company,Software Quality Control Engineer,"Cairo, Egypt",Full Time
MTS-IT,Back end Support," 
Maadi, Cairo",Full Time
MTS-IT,Software Testing Engineer," 
Maadi, Cairo",Full Time
CommuniCare Health,Maintenance Technician," 
Alexandria, Egypt",Full Time
Optasia,"QA Engineer, Fintech"," 
Cairo, Egypt",Full Time
Octane solutions,Senior Devops Engineer," 
Cairo, Egypt",Full Time
Optasia,"Software Engineer - Backend, Fintech"," 
Cairo, Egypt",Full Time
FlairsTech,Senior Jasper Developer/Admin," 
Maadi, Cairo",Full Time
Caduceus Lane,IT Operation Team Lead," 
San Stefano, Alexandria",Full Time
Confidential Company,Quality Assurance Testing Engineer,"Cairo, Egypt",Full Time
Arabia for Information Technology,System Administrator," 
Cairo, Egypt",Full Time
Confidential Company,IT Specialist,"Cairo, Egypt",Full Time
Asass,SAP system admin (SAP Business One)," 
Heliopolis, Cairo",Full Time
Amer Vision Group,IT Help Desk," 
Sheraton, Cairo",Full Time
Millensys,Technical Writer," 
New Cairo, Cairo",Full Time
Confidential Company,Senior Full Stack Developer (Angular / Java),"Cairo, Egypt",Full Time
Confidential Company,Senior Full Stack Developer (Angular / Java),"Cairo, Egypt",Work From Home
Servmix,System Administrator," 
Cairo, Egypt",Full Time
classera,ERP Implementer - Odoo," 
New Cairo, Cairo",Full Time
classera,ERP Implementer - Odoo," 
New Cairo, Cairo",Work From Home
GoodsMart,Full Stack Developer (.Net & Angular)," 
Zamalek, Cairo",Full Time
Agolo Egypt,Senior QA Engineer," 
Cairo, Egypt",Full Time
eVision,Power BI Developer," 
New Cairo, Cairo",Full Time
Confidential Company,Android Developer,"Cairo, Egypt",Full Time
Obeikan Digital Solutions,Backend PHP," 
Cairo, Egypt",Full Time
Obeikan Digital Solutions,Quality Control Engineer," 
Cairo, Egypt",Full Time
Obeikan Digital Solutions,Frontend Angular," 
Cairo, Egypt",Full Time
Obeikan Digital Solutions,Node JS Developer," 
New Cairo, Cairo",Full Time
Informatique Education,.NET WEB DEVELOPER (Web Forms)," 
Cairo, Egypt",Full Time
Kyan Labs,Laravel Developer," 
Maadi, Cairo",Full Time
Al Ahly Momkn for e-payment,Senior Testing Engineer," 
Maadi, Cairo",Full Time
Confidential Company,Partnership Manager,"Cairo, Egypt",Full Time
Confidential Company,Cyber Security Engineer,"Cairo, Egypt",Full Time
"Halliburton Energy Services, Inc.",Field Service Rep. I - Drilling Fluids," 
Cairo, Egypt",Full Time
ERP-Bank,Sales Manager," 
Sidi Gaber, Alexandria",Full Time
Jumia Technologies AG,IT Support Agent - Jumia (Full Time)," 
Cairo, Egypt",Full Time
Dentsu Inc,Finance Manager," 
Cairo, Egypt",Full Time
Arabic Localizer,Junior Web Developer (Back-End) - Alexandria," 
San Stefano, Alexandria",Full Time
Galaxy Consulting Solutions (G.C.S),SAP FICO - TRM - COPA - FUND Consultant," 
Nasr City, Cairo",Full Time
softprograms,Oracle HCM Consultant," 
Nasr City, Cairo",Full Time
S.C. Johnson & Son Inc,Senior Analyst - Accounting," 
Cairo, Egypt",Full Time
Merck Sharp & Dohme Corp,Senior Financial Analyst," 
Cairo, Egypt",Full Time
Giza Arabia Systems,Head of Presales - EG - EBS," 
Cairo, Egypt",Full Time
FlairsTech,Technical Trainer," 
Cairo, Egypt",Full Time
IBM WTC Egypt,Application Developer-Java & Web Technologies," 
Cairo, Egypt",Full Time
Giza Arabia Systems,Head of Technical Delivery- Government Business Solutions," 
Cairo, Egypt",Full Time
FlairsTech,Senior Python Developer," 
Cairo, Egypt",Full Time
Sutherland,English Customer Support - PREMIUM," 
New Cairo, Cairo",Full Time
Sceel.io,Next JS developer," 
Maadi, Cairo",Full Time
BayanTech,En Ar Reviewer," 
Cairo, Egypt",Full Time
BayanTech,Localization Project Manager," 
Cairo, Egypt",Full Time
BayanTech,Offshore Team Leader (Call Center - Dispatching)," 
Cairo, Egypt",Full Time
BayanTech,Quality Assurance Executive (data analysis- internal auditing)," 
Cairo, Egypt",Full Time
BayanTech,Project Manager (Hybrid)," 
Cairo, Egypt",Full Time
Nile Creations,UI/UX Web Designer," 
Heliopolis, Cairo",Full Time
34ML,iOS Developer," 
Heliopolis, Cairo",Full Time
34ML,VueJS Frontend Developer," 
Heliopolis, Cairo",Full Time
Arabia for Information Technology,Software Quality Control Specialist," 
Cairo, Egypt",Full Time
QARA,Product Owner," 
New Cairo, Cairo",Full Time
idaco,Hardware Design Engineer," 
6th of October, Giza",Full Time
idaco,flutter developer," 
6th of October, Giza",Full Time
Bevatel,Product Specialist (Tourism Field)," 
Dokki, Giza",Full Time
WSC,Business Analyst," 
Giza, Egypt",Full Time
Elaraby Group,Senior Civil Engineer (Menoufia)," 
Monufya, Egypt",Full Time
Elaraby Group,Senior Civil Engineer (Katameya)," 
Katameya, Cairo",Full Time
Asset Technology Group,Software Project Manager," 
Sheraton, Cairo",Full Time
Confidential Company,Developer Analyst,"Cairo, Egypt",Full Time
Al Ahly capital holding - Al Ahly Tamkeen,Senior Quality Assurance Testers," 
Cairo, Egypt",Full Time
Amazon MENA,"Vendor Consultant, Spanish"," 
Cairo, Egypt",Full Time
WSC,Drupal Developer," 
Giza, Egypt",Full Time
BayanTech,System Admin," 
Cairo, Egypt",Full Time
WSC,Backend Developer .Net," 
Giza, Egypt",Full Time
YOUXEl Technology,Senior Android Developer," 
Cairo, Egypt",Full Time
YOUXEl Technology,Senior Android Developer," 
Cairo, Egypt",Work From Home
TechJump,Technical Support Engineer - German Speaker," 
Alexandria, Egypt",Full Time
TechJump,Technical Support Engineer - German Speaker," 
Alexandria, Egypt",Work From Home
Al Ahly capital holding - Al Ahly Tamkeen,Quality Assurance Tester," 
Maadi, Cairo",Full Time
ITSS,Senior Odoo Developer," 
Maadi, Cairo",Full Time
Dimofinf Operations Center,Technical Recruiter," 
Nasr City, Cairo",Full Time
Robiquity,Consultant," 
New Cairo, Cairo",Full Time
Robiquity,Associate Consultant," 
New Cairo, Cairo",Full Time
egabi solutions,SR. JAVA (ADF) Developer," 
Sheraton, Cairo",Full Time
softprograms,Oracle EBS Financial Consultant," 
Nasr City, Cairo",Full Time
Confidential Company,Oracle ADF Developer,"Cairo, Egypt",Full Time
Confidential Company,Internal Audit Supervisor,"Cairo, Egypt",Full Time
Elaraby Group,Senior Civil Engineer (Luxor)," 
Luxor, Egypt",Full Time
Erpplus5,Front End Developer," 
Cairo, Egypt",Full Time
Erpplus5,Business Analyst," 
Maadi, Cairo",Full Time
Erpplus5,Software Quality Control and Tester," 
Maadi, Cairo",Full Time
Confidential Company,Software Tester,"Cairo, Egypt",Part Time
GetTechForce.com,Senior Python / Docker / Flask developer," 
Cairo, Egypt",Full Time
GetTechForce.com,Senior Python / Docker / Flask developer," 
Cairo, Egypt",Work From Home
GetTechForce.com,Senior Full Stack Developer," 
Cairo, Egypt",Full Time
GetTechForce.com,Senior Full Stack Developer," 
Cairo, Egypt",Work From Home
GetTechForce.com,Senior Data Engineer - Remote," 
Cairo, Egypt",Work From Home
Confidential Company,HR Manager,"Cairo, Egypt",Full Time
Easy Cash,Information Security Engineer," 
Heliopolis, Cairo",Full Time
IBM WTC Egypt,Test Specialist:Middleware," 
Cairo, Egypt",Full Time
LINK TSP,Technical Lead," 
New Cairo, Cairo",Full Time
Efada Technology,Hybris backend Developer," 
Zamalek, Cairo",Full Time
MFG,App and Web developer," 
Katameya, Cairo",Full Time
MFG,App and Web developer," 
Katameya, Cairo",Part Time
LINK TSP,Project Manager," 
New Cairo, Cairo",Full Time
MedVAlley S.A.E,IT Help Desk," 
New Cairo, Cairo",Full Time
MedVAlley S.A.E,IT Help Desk," 
New Cairo, Cairo",Shift Based
QARA,Senior Backend Node.js Developer - Mongo DB," 
New Cairo, Cairo",Full Time
MedVAlley S.A.E,System Administrator," 
New Cairo, Cairo",Full Time
MedVAlley S.A.E,System Administrator," 
New Cairo, Cairo",Shift Based
Mubasher,Tele sales Team Leader - Brokerage," 
Nasr City, Cairo",Full Time
Trans World Trading,IT Administrator," 
Abu Rawash, Giza",Full Time
Enable,IT Technical Support," 
Nasr City, Cairo",Full Time
Confidential Company,System Analyst,"Cairo, Egypt",Full Time
Nahdet Misr Publishing Group,SAP FICO Consultant," 
Mohandessin, Giza",Full Time
Giza Arabia Systems,Project Coordinator," 
Cairo, Egypt",Full Time
Giza Arabia Systems,Senior Communication Engineer - Transmission," 
Cairo, Egypt",Full Time
Dedalus,Java Full Stack Developer," 
Nasr City, Cairo",Full Time
Premier Services and Recruitment,.NET WPF Developer," 
Cairo, Egypt",Full Time
Premier Services and Recruitment,.Net React Full-stack Developer," 
Cairo, Egypt",Full Time
Premier Services and Recruitment,.Net Test Analyst," 
Cairo, Egypt",Full Time
K Line Europe,Senior Drupal Developer," 
Cairo, Egypt",Full Time
K Line Europe,Senior Drupal Developer," 
Cairo, Egypt",Work From Home
Link Datacenter,Senior Technical Recruiter," 
Maadi, Cairo",Full Time
etmana,Product designer Ui UX," 
Katameya, Cairo",Full Time
WSC,Senior Java Developer," 
Dokki, Giza",Full Time
Yespays,Selenium Automation Tester," 
New Cairo, Cairo",Full Time
Yespays,Selenium Automation Tester," 
New Cairo, Cairo",Part Time
Nacita,Junior IT Help Desk," 
Cairo, Egypt",Full Time
Delta Egypt For Lighting,IT System Admin," 
Obour City, Cairo",Full Time
Kandeel Group,Site Engineer," 
New Cairo, Cairo",Full Time
Qureos,Virtual Project Management Internship," 
Cairo, Egypt",Full Time
Confidential Company,IT Manager,"Cairo, Egypt",Full Time
Bydotpy,Product Manager," 
New Cairo, Cairo",Full Time
Confidential Company,IT Digital Transformation Manager,"Cairo, Egypt",Full Time
Cashcall,Technical Operations Engineer," 
Maadi, Cairo",Full Time
Lumin,Senior Infrastructure Engineer," 
Sheikh Zayed, Giza",Full Time
SSC Egypt,Senior NET Developer," 
Cairo, Egypt",Work From Home
International Advanced,Customer Support Representative," 
Nasr City, Cairo",Full Time
ENOVA Facilities Management,JR_IT Support," 
New Cairo, Cairo",Full Time
Confidential Company,Senior Business Analyst,"Cairo, Egypt",Full Time
WSC,Front End Developer," 
Giza, Egypt",Full Time
Callvita,React Native UI Software Engineer," 
New Cairo, Cairo",Full Time
Callvita,Full Stack Software Engineer," 
Maadi, Cairo",Full Time
New Energy EV,Wordpress Developer," 
Maadi, Cairo",Full Time
New Energy EV,Wordpress Developer," 
Maadi, Cairo",Freelance / Project
New Energy EV,Wordpress Developer," 
Maadi, Cairo",Work From Home
Informatique Education,Business Analyst," 
Nasr City, Cairo",Full Time
Informatique Education,project manager," 
Nasr City, Cairo",Full Time
Tawzef,Senior Business Intelligence Specialist," 
Mohandessin, Giza",Full Time
Bevatel,Senior Software Engineer," 
Dokki, Giza",Full Time
Wicresoft,Technical Support Engineer," 
Cairo, Egypt",Full Time
Airpoint,Software Sales Representative/Manager," 
Maadi, Cairo",Full Time
Fixed Solutions,Digital Marketing Manager," 
Cairo, Egypt",Full Time
RDI,Sales Account Manager," 
Dokki, Giza",Full Time
Alromansiah,SAP SD Consultant," 
Giza, Egypt",Full Time
eVision,Devops Engineer," 
New Cairo, Cairo",Full Time
Travolic.LLc,Junior Backend Developer," 
New Cairo, Cairo",Full Time
Zewail City,Technical Support Specialist," 
6th of October, Giza",Full Time
Zewail City,Student Information System (SIS) Specialist," 
6th of October, Giza",Full Time
BeConnected,Senior Backend PHP Developer," 
6th of October, Giza",Full Time
Simple Touch Software,Software Senior Sales Representative," 
Maadi, Cairo",Full Time
Lumin,Sales Account Manager - Fintech," 
Sheikh Zayed, Giza",Full Time
IBM WTC Egypt,Test Specialist," 
Cairo, Egypt",Full Time
Giza Arabia Systems,Senior React Native Developer," 
Cairo, Egypt",Full Time
Giza Arabia Systems,Senior Aris Developer," 
Cairo, Egypt",Full Time
Giza Arabia Systems,Presales Manager - Enterprise Business Solutions," 
Cairo, Egypt",Full Time
Confidential Company,Computer Science & Computer Engineering Fresh Graduates,"Cairo, Egypt",Full Time
MegaSoft,Junior Software Engineer," 
Heliopolis, Cairo",Full Time
Poverty Action Lab,Senior Administrative Assistant," 
Cairo, Egypt",Full Time
Cargoes,"Cash Management Accountant Suez, Egypt Posted on 10/22/2023"," 
Suez, Egypt",Full Time
SABA,Project Manager - Data Networks (ICT)," 
Heliopolis, Cairo",Full Time
Softec Technologies,Software Product Owner," 
Cairo, Egypt",Full Time
Ejada,Graphic Designer," 
Cairo, Egypt",Full Time
Sarmady,Front End Team Lead," 
Mohandessin, Giza",Full Time
Sarmady,Senior Front-End Developer," 
Mohandessin, Giza",Full Time
Heineken,Business Analyst - Supply Chain Business Control," 
Cairo, Egypt",Full Time
Giza Arabia Systems,Senior Pega Developer," 
Cairo, Egypt",Full Time
Union Coop,Senior Full Stack Developer (on-site)," 
Dokki, Giza",Full Time
Algoriza,Senior Java Developer," 
Giza, Egypt",Full Time
Azdan Business Analytics,Senior ERP Project Manager," 
Cairo, Egypt",Full Time
BI-Technologies,Application Support Engineer," 
New Cairo, Cairo",Full Time
Perfect Presentation,Genesys Engineer," 
6th of October, Giza",Full Time
Nacita,IT Manager," 
6th of October, Giza",Full Time
Trufla,Product Manager," 
Heliopolis, Cairo",Full Time
Confidential Company,Full Stack Developer,"Cairo, Egypt",Full Time
Samcrete Engineers & contractors,Senior Oracle Technical Developer," 
Haram, Giza",Full Time
Osolutions,Flutter Developer," 
Sheraton, Cairo",Full Time
Victory Link,Senior Flutter Developer," 
Maadi, Cairo",Full Time
Netcompay- Intrasoft,SAP HCM Consultant/ SF," 
Cairo, Egypt",Full Time
Smart Cards application,Front End Developer," 
6th of October, Giza",Full Time
CrossWorkers,Full-Stack Java Developer (Java &Angular)," 
New Cairo, Cairo",Full Time
Trufla,Senior Software Business Analyst," 
Heliopolis, Cairo",Full Time
Sceel.io,Senior Talend Architect," 
Maadi, Cairo",Full Time
Sceel.io,Data Solution Architect," 
Maadi, Cairo",Full Time
Confidential Company,IT Responsible,"Cairo, Egypt",Full Time
Sceel.io,Data Management Consultant," 
Maadi, Cairo",Full Time
CyberX,UI UX Designer," 
Cairo, Egypt",Full Time
CyberX,Unity Game Developer 3D," 
Cairo, Egypt",Full Time
Perfect Presentation,Application Support Engineer," 
6th of October, Giza",Full Time
World Food Program - Other locations,Monitoring Assistant SC," 
Cairo, Egypt",Full Time
Expert Apps,Scrum Master," 
Maadi, Cairo",Full Time
FinBi Finance & Banking Consultants International,Senior Systems Engineer," 
Dokki, Giza",Full Time
Our Education,Business Developer," 
Nasr City, Cairo",Full Time
FinBi Finance & Banking Consultants International,Senior Technical Support," 
Dokki, Giza",Full Time
FinBi Finance & Banking Consultants International,Senior Network security engineer," 
Dokki, Giza",Full Time
Bevatel,SaaS Product Manager," 
Dokki, Giza",Full Time
Aswaq,Finance Manager," 
Shorouk City, Cairo",Full Time
Nahr Development,Full-Stack .NET Web Developer," 
Mokattam, Cairo",Full Time
EGID company,Senior Full Stack Developer," 
New Cairo, Cairo",Full Time
Al-Meshka,IT Support Engineer," 
Giza, Egypt",Part Time
Confidential Company,Senior React Frontend Developer,"Cairo, Egypt",Full Time
Confidential Company,Senior React Frontend Developer,"Cairo, Egypt",Work From Home
International Advanced,Senior PHP Developer," 
Nasr City, Cairo",Full Time
waffarha.com,Product Owner," 
Downtown, Cairo",Full Time
TREX,Sr. Full-Stack Mobile Developer," 
Cairo, Egypt",Full Time
BSmart,Technical Application Consultant\Support," 
Maadi, Cairo",Full Time
Perfect Presentation,SCM Consultant," 
6th of October, Giza",Full Time
Perfect Presentation,HCM Consultant," 
6th of October, Giza",Full Time
Perfect Presentation,Senior Financial Consultant," 
6th of October, Giza",Full Time
eT3 - Tomorrow Information Technology,CVM Application Engineer," 
New Cairo, Cairo",Full Time
AK IT Consulting,Odoo Developer," 
Nasr City, Cairo",Full Time
Perfect Presentation,Oracle Apps Technical Consultant," 
6th of October, Giza",Full Time
eT3 - Tomorrow Information Technology,Solution Architect," 
New Cairo, Cairo",Full Time
Perfect Presentation,Database Administrator," 
6th of October, Giza",Full Time
eT3 - Tomorrow Information Technology,Test Specialist - Data," 
New Cairo, Cairo",Full Time
Nile University,Strategic planning Manager," 
Sheikh Zayed, Giza",Full Time
Nile University,Strategic planning Specialist," 
Sheikh Zayed, Giza",Full Time
Confidential Company,Oracle EBS Senior Techno Consultant,"Cairo, Egypt",Full Time
Dexef,Front End Developer (React.js)," 
Maadi, Cairo",Freelance / Project
Dexef,Front End Developer (React.js)," 
Maadi, Cairo",Work From Home
Confidential Company,Senior Software Developer (C#),"Cairo, Egypt",Work From Home
Casita,Senior PHP Developer," 
Dokki, Giza",Full Time
Noases,IT Manager," 
Nasr City, Cairo",Full Time
FinTech Collective,Integration Engineer - MENA," 
Cairo, Egypt",Full Time
Antal International - Egypt,Dot Net Lead - Backend - Egypt," 
Cairo, Egypt",Full Time
Tie House,IT Specialist," 
New Cairo, Cairo",Full Time
Edentech,Senior Front-end position," 
Heliopolis, Cairo",Full Time
IBM WTC Egypt,Remote RTS for Lenovo Products – French Speaking," 
Cairo, Egypt",Full Time
IBM WTC Egypt,Remote RTS for Lenovo Products – French Speaking," 
Cairo, Egypt",Work From Home
IQRA Network,Full Stack Web Developer," 
Cairo, Egypt",Full Time
IQRA Network,Full Stack Web Developer," 
Cairo, Egypt",Work From Home
Engosoft,IT Specialist," 
Nasr City, Cairo",Full Time
CRE Venture Capital,Integration Engineer - MENA," 
Cairo, Egypt",Full Time
Giza Arabia Systems,Senior Presales Consultant - RS," 
Cairo, Egypt",Full Time
Antal International - Egypt,Chief Executive Officer," 
Cairo, Egypt",Full Time
Oracle - Egypt,Technical Project Manager (ACS-CSS)," 
Cairo, Egypt",Full Time
Elev8Assessments,PHP Developer Internship - Remote," 
Giza, Egypt",Internship
Horizon Agency,Flutter Developer," 
New Cairo, Cairo",Full Time
Horizon Agency,Front End Developer," 
New Cairo, Cairo",Full Time
Horizon Agency,Back End Developer (PHP)," 
New Cairo, Cairo",Full Time
eT3 - Tomorrow Information Technology,Senior Data Architect/Modeler," 
New Cairo, Cairo",Full Time
Carpet Land,Program Developer," 
Mokattam, Cairo",Full Time
Link Datacenter,Technical Lead (Full-Stack\.Net Core & Angluar)," 
Maadi, Cairo",Full Time
GET Group- Egypt,Senior .NET Developer," 
Cairo, Egypt",Full Time
Link Datacenter,Senior Full Stack Developer (.Net & Angular 14+)," 
Maadi, Cairo",Full Time
Al Ahly Momkn for e-payment,Presales Engineer," 
Maadi, Cairo",Full Time
Charisma Design,Software Tester," 
Nasr City, Cairo",Full Time
