Comp_Name,Job_Title,Location,Category_Name
Tafeel,Senior Quality Control Engineer," 
Nasr City, Cairo",IT/Software Development
Tafeel,Senior Quality Control Engineer," 
Nasr City, Cairo",Quality
Tafeel,Senior Quality Control Engineer," 
Nasr City, Cairo",Engineering - Telecom/Technology
Latalia,IT Account Manager," 
Cairo, Egypt",Creative/Design/Art
Latalia,IT Account Manager," 
Cairo, Egypt",IT/Software Development
Latalia,IT Account Manager," 
Cairo, Egypt",Strategy/Consulting
FlapKap,Sr. Backend Software Engineer," 
Maadi, Cairo",Accounting/Finance
FlapKap,Sr. Backend Software Engineer," 
Maadi, Cairo",IT/Software Development
FlapKap,Sr. Backend Software Engineer," 
Maadi, Cairo",Engineering - Telecom/Technology
MakanE Company,Senior Software Sales Representative," 
Cairo, Egypt",Customer Service/Support
MakanE Company,Senior Software Sales Representative," 
Cairo, Egypt",IT/Software Development
MakanE Company,Senior Software Sales Representative," 
Cairo, Egypt",Sales/Retail
JRM for Communications,Communications Field Engineer," 
Nasr City, Cairo",Installation/Maintenance/Repair
JRM for Communications,Communications Field Engineer," 
Nasr City, Cairo",IT/Software Development
JRM for Communications,Communications Field Engineer," 
Nasr City, Cairo",Engineering - Telecom/Technology
JRM for Communications,Odoo Developer," 
Nasr City, Cairo",IT/Software Development
Tafeel,Senior UI/UX Designer," 
Nasr City, Cairo",Creative/Design/Art
Tafeel,Senior UI/UX Designer," 
Nasr City, Cairo",IT/Software Development
Tafeel,Senior UI/UX Designer," 
Nasr City, Cairo",Engineering - Telecom/Technology
Wicresoft,Technical Support Engineer-Freelancer," 
Cairo, Egypt",IT/Software Development
Wicresoft,Technical Support Engineer-Freelancer," 
Cairo, Egypt",Engineering - Telecom/Technology
Confidential Company,IT Officer,"Cairo, Egypt",IT/Software Development
Confidential Company,IT Officer,"Cairo, Egypt",Engineering - Telecom/Technology
BSmart,Senior Software Sales Representative," 
Maadi, Cairo",Business Development
BSmart,Senior Software Sales Representative," 
Maadi, Cairo",IT/Software Development
BSmart,Senior Software Sales Representative," 
Maadi, Cairo",Sales/Retail
Confidential Company,Senior Devops Engineer,"Cairo, Egypt",IT/Software Development
Confidential Company,Technical Support Engineer,"Cairo, Egypt",IT/Software Development
Confidential Company,IT Apps Delivery Manager,"Cairo, Egypt",IT/Software Development
Confidential Company,Business Analyst,"Cairo, Egypt",IT/Software Development
Jessour Misr,Junior IT Specialist," 
Abu Rawash, Giza",Installation/Maintenance/Repair
Jessour Misr,Junior IT Specialist," 
Abu Rawash, Giza",IT/Software Development
Jessour Misr,Junior IT Specialist," 
Abu Rawash, Giza",Engineering - Telecom/Technology
Horizon Agency,Senior Full Stack Developer," 
New Cairo, Cairo",IT/Software Development
Horizon Agency,Senior Full Stack Developer," 
New Cairo, Cairo",Engineering - Telecom/Technology
Horizon Agency,WordPress Developer," 
New Cairo, Cairo",IT/Software Development
Horizon Agency,WordPress Developer," 
New Cairo, Cairo",Engineering - Telecom/Technology
LINK Development,.Net Development Manager," 
Maadi, Cairo",IT/Software Development
LINK Development,.Net Development Manager," 
Maadi, Cairo",Engineering - Telecom/Technology
Fawry for Banking Technology and Electronic Payments S.A.E,IT Help Desk Engineer," 
6th of October, Giza",IT/Software Development
Perfect Presentation,Quality Control Engineer," 
6th of October, Giza",IT/Software Development
AGA,Electrical Engineer," 
Aga, Dakahlia",Engineering - Mechanical/Electrical
AGA,Electrical Engineer," 
Aga, Dakahlia",Engineering - Other
Safa Soft,Scrum Master," 
Maadi, Cairo",IT/Software Development
Safa Soft,Scrum Master," 
Maadi, Cairo",Project/Program Management
Safa Soft,Scrum Master," 
Maadi, Cairo",Engineering - Telecom/Technology
Confidential Company,Network Engineer,"Cairo, Egypt",Installation/Maintenance/Repair
Confidential Company,Network Engineer,"Cairo, Egypt",IT/Software Development
Confidential Company,Network Engineer,"Cairo, Egypt",Engineering - Telecom/Technology
Confidential Company,IT Help Desk Technician,"Cairo, Egypt",Installation/Maintenance/Repair
Confidential Company,IT Help Desk Technician,"Cairo, Egypt",IT/Software Development
Confidential Company,IT Help Desk Technician,"Cairo, Egypt",Sales/Retail
ICIS,Full Stack Team Lead .Net & Angular," 
New Cairo, Cairo",IT/Software Development
ICIS,Full Stack Team Lead .Net & Angular," 
New Cairo, Cairo",Engineering - Telecom/Technology
ICIS,Senior Full Stack Developer .Net + Angular," 
New Cairo, Cairo",IT/Software Development
ICIS,Senior Full Stack Developer .Net + Angular," 
New Cairo, Cairo",Engineering - Telecom/Technology
PETC,Senior SEO / Senior Search Engine Optimization," 
Mohandessin, Giza",IT/Software Development
Confidential Company,Senior Backend Software Engineer - (.Net),"Cairo, Egypt",IT/Software Development
Holix,Python Web Developer - Graduate Position," 
Cairo, Egypt",IT/Software Development
BDO Esnad,IT Voice Administrator," 
Maadi, Cairo",IT/Software Development
The Address Investments for Real Estate Consultancy,Senior SEO Specialist," 
New Cairo, Cairo",IT/Software Development
The Address Investments for Real Estate Consultancy,Senior SEO Specialist," 
New Cairo, Cairo",Marketing/PR/Advertising
The Address Investments for Real Estate Consultancy,Senior SEO Specialist," 
New Cairo, Cairo",Analyst/Research
Confidential Company,UI UX Designer,"Cairo, Egypt",Creative/Design/Art
Confidential Company,UI UX Designer,"Cairo, Egypt",IT/Software Development
Confidential Company,UI UX Designer,"Cairo, Egypt",Engineering - Telecom/Technology
ACT Advanced Computer Technology,Network & Security Senior Specialist," 
Cairo, Egypt",IT/Software Development
ACT Advanced Computer Technology,Network & Security Senior Specialist," 
Cairo, Egypt",Engineering - Telecom/Technology
Confidential Company,IT Technical Support Specialist,"Cairo, Egypt",Installation/Maintenance/Repair
Confidential Company,IT Technical Support Specialist,"Cairo, Egypt",IT/Software Development
Confidential Company,IT Technical Support Specialist,"Cairo, Egypt",Engineering - Telecom/Technology
intella,Backend Developer," 
Dokki, Giza",IT/Software Development
intella,Backend Developer," 
Dokki, Giza",Engineering - Telecom/Technology
Algoriza,Technical SME Engineer," 
Giza, Egypt",IT/Software Development
Asset Technology Group,.Net Technical Lead," 
Sheraton, Cairo",IT/Software Development
Asset Technology Group,Sr. Java Developer," 
Sheraton, Cairo",IT/Software Development
Asset Technology Group,Sr. Java Developer," 
Sheraton, Cairo",Engineering - Telecom/Technology
Itqanconstruction,Interior Designer," 
New Cairo, Cairo",Engineering - Construction/Civil/Architecture
Kgroup,Senior System and Network Administrator," 
Cairo, Egypt",IT/Software Development
Kgroup,Senior System and Network Administrator," 
Cairo, Egypt",Engineering - Telecom/Technology
Kgroup,IT Help Desk," 
Cairo, Egypt",IT/Software Development
Kgroup,IT Help Desk," 
Cairo, Egypt",Engineering - Telecom/Technology
Zewail City,Senior Backend Developer - Part Time," 
6th of October, Giza",IT/Software Development
Zewail City,Senior Backend Developer - Part Time," 
6th of October, Giza",Engineering - Telecom/Technology
Technotown,Odoo Developer," 
Cairo, Egypt",Installation/Maintenance/Repair
Technotown,Odoo Developer," 
Cairo, Egypt",IT/Software Development
Technotown,Odoo Developer," 
Cairo, Egypt",Engineering - Telecom/Technology
Kgroup,IT Operations Manager," 
Cairo, Egypt",IT/Software Development
Kgroup,IT Operations Manager," 
Cairo, Egypt",Engineering - Telecom/Technology
Safa Soft,Senior PHP Developer (Laravel)," 
Maadi, Cairo",IT/Software Development
Safa Soft,Senior PHP Developer (Laravel)," 
Maadi, Cairo",Engineering - Telecom/Technology
Smart Cards application,Senior Database Administrator," 
6th of October, Giza",IT/Software Development
Smart Cards application,Senior Database Administrator," 
6th of October, Giza",Engineering - Telecom/Technology
Cepack,Technical Support Specialist-Cairo," 
Cairo, Egypt",Customer Service/Support
Cepack,Technical Support Specialist-Cairo," 
Cairo, Egypt",IT/Software Development
Cepack,Technical Support Specialist," 
Bourj Alarab, Alexandria",Customer Service/Support
Cepack,Technical Support Specialist," 
Bourj Alarab, Alexandria",IT/Software Development
Informatique Education,Senior Front End Developer," 
Cairo, Egypt",IT/Software Development
Informatique Education,Senior Front End Developer," 
Cairo, Egypt",Engineering - Telecom/Technology
3D Diagnostix,Senior Back-End Developer (Node Js)," 
Maadi, Cairo",IT/Software Development
3D Diagnostix,Senior Back-End Developer (Node Js)," 
Maadi, Cairo",Engineering - Other
Confidential Company,IT Help Desk,"Cairo, Egypt",IT/Software Development
Confidential Company,IT Help Desk,"Cairo, Egypt",Engineering - Telecom/Technology
conveyou,Junior Application tester and quality control," 
Cairo, Egypt",IT/Software Development
etmana,Senior Front End Developer Angular," 
Katameya, Cairo",IT/Software Development
VAS Integrated Solutions,Cloud Architect," 
Cairo, Egypt",Creative/Design/Art
VAS Integrated Solutions,Cloud Architect," 
Cairo, Egypt",IT/Software Development
VAS Integrated Solutions,Cloud Architect," 
Cairo, Egypt",Engineering - Telecom/Technology
Raya Holding for Financial Investments,Senior Engineer (Customer Services)," 
Cairo, Egypt",IT/Software Development
Raya Holding for Financial Investments,Senior Engineer (Customer Services)," 
Cairo, Egypt",Engineering - Telecom/Technology
Raya Holding for Financial Investments,Senior Engineer (Customer Services)," 
Cairo, Egypt",Engineering - Mechanical/Electrical
Olivery,Technical Support Engineer," 
Cairo, Egypt",IT/Software Development
Olivery,Technical Support Engineer," 
Cairo, Egypt",Logistics/Supply Chain
Confidential Company,Second Line Support and Network & Data Engineer.,"Cairo, Egypt",IT/Software Development
Confidential Company,Second Line Support and Systems & Security Engineer.,"Cairo, Egypt",IT/Software Development
3S Software,Business Analyst," 
Nasr City, Cairo",IT/Software Development
3S Software,Business Analyst," 
Nasr City, Cairo",Analyst/Research
Confidential Company,Help Desk Engineer.,"Cairo, Egypt",Installation/Maintenance/Repair
Confidential Company,Help Desk Engineer.,"Cairo, Egypt",IT/Software Development
Confidential Company,Help Desk Engineer.,"Cairo, Egypt",Engineering - Telecom/Technology
Alexandria Business Association- SMEs Project,Information & Network security Engineer," 
Mahta Alraml, Alexandria",Installation/Maintenance/Repair
Alexandria Business Association- SMEs Project,Information & Network security Engineer," 
Mahta Alraml, Alexandria",IT/Software Development
Alexandria Business Association- SMEs Project,Information & Network security Engineer," 
Mahta Alraml, Alexandria",Engineering - Telecom/Technology
El Banna Group Company,IT Senior system admin- nearby to 10th of Ramadan," 
10th of Ramadan City, Sharqia",IT/Software Development
El Banna Group Company,IT Senior system admin- nearby to 10th of Ramadan," 
10th of Ramadan City, Sharqia",Operations/Management
El Banna Group Company,IT Senior system admin- nearby to 10th of Ramadan," 
10th of Ramadan City, Sharqia",Other
ECONSTRUCT DESIGN & BUILD Pvt Ltd.,Drafter," 
Alexandria, Egypt",Engineering - Construction/Civil/Architecture
ECONSTRUCT DESIGN & BUILD Pvt Ltd.,Drafter," 
Alexandria, Egypt",Creative/Design/Art
ECONSTRUCT DESIGN & BUILD Pvt Ltd.,Drafter," 
Alexandria, Egypt",Engineering - Mechanical/Electrical
Confidential Company,PHP Developer,"Cairo, Egypt",Business Development
Confidential Company,PHP Developer,"Cairo, Egypt",IT/Software Development
Confidential Company,PHP Developer,"Cairo, Egypt",Engineering - Telecom/Technology
Dimofinf Operations Center,Scrum Master," 
Nasr City, Cairo",IT/Software Development
Dimofinf Operations Center,Scrum Master," 
Nasr City, Cairo",Project/Program Management
Dimofinf Operations Center,Scrum Master," 
Nasr City, Cairo",Engineering - Telecom/Technology
Confidential Company,Software Quality Control Engineer,"Cairo, Egypt",IT/Software Development
Confidential Company,Software Quality Control Engineer,"Cairo, Egypt",Quality
Confidential Company,Software Quality Control Engineer,"Cairo, Egypt",Engineering - Telecom/Technology
MTS-IT,Back end Support," 
Maadi, Cairo",IT/Software Development
MTS-IT,Software Testing Engineer," 
Maadi, Cairo",Quality
CommuniCare Health,Maintenance Technician," 
Alexandria, Egypt",Installation/Maintenance/Repair
CommuniCare Health,Maintenance Technician," 
Alexandria, Egypt",IT/Software Development
CommuniCare Health,Maintenance Technician," 
Alexandria, Egypt",Engineering - Mechanical/Electrical
Optasia,"QA Engineer, Fintech"," 
Cairo, Egypt",IT/Software Development
Optasia,"QA Engineer, Fintech"," 
Cairo, Egypt",Quality
Octane solutions,Senior Devops Engineer," 
Cairo, Egypt",Installation/Maintenance/Repair
Octane solutions,Senior Devops Engineer," 
Cairo, Egypt",IT/Software Development
Octane solutions,Senior Devops Engineer," 
Cairo, Egypt",Engineering - Telecom/Technology
Optasia,"Software Engineer - Backend, Fintech"," 
Cairo, Egypt",IT/Software Development
Optasia,"Software Engineer - Backend, Fintech"," 
Cairo, Egypt",Engineering - Other
FlairsTech,Senior Jasper Developer/Admin," 
Maadi, Cairo",IT/Software Development
Caduceus Lane,IT Operation Team Lead," 
San Stefano, Alexandria",IT/Software Development
Confidential Company,Quality Assurance Testing Engineer,"Cairo, Egypt",IT/Software Development
Confidential Company,Quality Assurance Testing Engineer,"Cairo, Egypt",Quality
Confidential Company,Quality Assurance Testing Engineer,"Cairo, Egypt",Engineering - Telecom/Technology
Arabia for Information Technology,System Administrator," 
Cairo, Egypt",IT/Software Development
Confidential Company,IT Specialist,"Cairo, Egypt",IT/Software Development
Asass,SAP system admin (SAP Business One)," 
Heliopolis, Cairo",IT/Software Development
Asass,SAP system admin (SAP Business One)," 
Heliopolis, Cairo",Engineering - Telecom/Technology
Amer Vision Group,IT Help Desk," 
Sheraton, Cairo",Installation/Maintenance/Repair
Amer Vision Group,IT Help Desk," 
Sheraton, Cairo",IT/Software Development
Amer Vision Group,IT Help Desk," 
Sheraton, Cairo",Engineering - Telecom/Technology
Millensys,Technical Writer," 
New Cairo, Cairo",Writing/Editorial
Millensys,Technical Writer," 
New Cairo, Cairo",IT/Software Development
Confidential Company,Senior Full Stack Developer (Angular / Java),"Cairo, Egypt",IT/Software Development
Servmix,System Administrator," 
Cairo, Egypt",Administration
Servmix,System Administrator," 
Cairo, Egypt",IT/Software Development
Servmix,System Administrator," 
Cairo, Egypt",Engineering - Telecom/Technology
classera,ERP Implementer - Odoo," 
New Cairo, Cairo",Accounting/Finance
classera,ERP Implementer - Odoo," 
New Cairo, Cairo",Customer Service/Support
classera,ERP Implementer - Odoo," 
New Cairo, Cairo",IT/Software Development
GoodsMart,Full Stack Developer (.Net & Angular)," 
Zamalek, Cairo",IT/Software Development
Agolo Egypt,Senior QA Engineer," 
Cairo, Egypt",IT/Software Development
eVision,Power BI Developer," 
New Cairo, Cairo",IT/Software Development
Confidential Company,Android Developer,"Cairo, Egypt",Business Development
Confidential Company,Android Developer,"Cairo, Egypt",IT/Software Development
Obeikan Digital Solutions,Backend PHP," 
Cairo, Egypt",IT/Software Development
Obeikan Digital Solutions,Quality Control Engineer," 
Cairo, Egypt",IT/Software Development
Obeikan Digital Solutions,Frontend Angular," 
Cairo, Egypt",IT/Software Development
Obeikan Digital Solutions,Node JS Developer," 
New Cairo, Cairo",IT/Software Development
Informatique Education,.NET WEB DEVELOPER (Web Forms)," 
Cairo, Egypt",IT/Software Development
Informatique Education,.NET WEB DEVELOPER (Web Forms)," 
Cairo, Egypt",Engineering - Telecom/Technology
Kyan Labs,Laravel Developer," 
Maadi, Cairo",IT/Software Development
Kyan Labs,Laravel Developer," 
Maadi, Cairo",Engineering - Telecom/Technology
Al Ahly Momkn for e-payment,Senior Testing Engineer," 
Maadi, Cairo",IT/Software Development
Confidential Company,Partnership Manager,"Cairo, Egypt",IT/Software Development
Confidential Company,Partnership Manager,"Cairo, Egypt",Sales/Retail
Confidential Company,Cyber Security Engineer,"Cairo, Egypt",IT/Software Development
Confidential Company,Cyber Security Engineer,"Cairo, Egypt",Engineering - Telecom/Technology
"Halliburton Energy Services, Inc.",Field Service Rep. I - Drilling Fluids," 
Cairo, Egypt",IT/Software Development
"Halliburton Energy Services, Inc.",Field Service Rep. I - Drilling Fluids," 
Cairo, Egypt",Medical/Healthcare
"Halliburton Energy Services, Inc.",Field Service Rep. I - Drilling Fluids," 
Cairo, Egypt",Sales/Retail
ERP-Bank,Sales Manager," 
Sidi Gaber, Alexandria",Customer Service/Support
ERP-Bank,Sales Manager," 
Sidi Gaber, Alexandria",IT/Software Development
ERP-Bank,Sales Manager," 
Sidi Gaber, Alexandria",Sales/Retail
Jumia Technologies AG,IT Support Agent - Jumia (Full Time)," 
Cairo, Egypt",Customer Service/Support
Jumia Technologies AG,IT Support Agent - Jumia (Full Time)," 
Cairo, Egypt",IT/Software Development
Jumia Technologies AG,IT Support Agent - Jumia (Full Time)," 
Cairo, Egypt",Engineering - Telecom/Technology
Dentsu Inc,Finance Manager," 
Cairo, Egypt",Accounting/Finance
Dentsu Inc,Finance Manager," 
Cairo, Egypt",Banking
Dentsu Inc,Finance Manager," 
Cairo, Egypt",Operations/Management
Arabic Localizer,Junior Web Developer (Back-End) - Alexandria," 
San Stefano, Alexandria",IT/Software Development
Arabic Localizer,Junior Web Developer (Back-End) - Alexandria," 
San Stefano, Alexandria",Engineering - Telecom/Technology
Galaxy Consulting Solutions (G.C.S),SAP FICO - TRM - COPA - FUND Consultant," 
Nasr City, Cairo",Accounting/Finance
Galaxy Consulting Solutions (G.C.S),SAP FICO - TRM - COPA - FUND Consultant," 
Nasr City, Cairo",IT/Software Development
softprograms,Oracle HCM Consultant," 
Nasr City, Cairo",Human Resources
softprograms,Oracle HCM Consultant," 
Nasr City, Cairo",IT/Software Development
S.C. Johnson & Son Inc,Senior Analyst - Accounting," 
Cairo, Egypt",IT/Software Development
S.C. Johnson & Son Inc,Senior Analyst - Accounting," 
Cairo, Egypt",Analyst/Research
S.C. Johnson & Son Inc,Senior Analyst - Accounting," 
Cairo, Egypt",Engineering - Telecom/Technology
Merck Sharp & Dohme Corp,Senior Financial Analyst," 
Cairo, Egypt",Accounting/Finance
Merck Sharp & Dohme Corp,Senior Financial Analyst," 
Cairo, Egypt",IT/Software Development
Merck Sharp & Dohme Corp,Senior Financial Analyst," 
Cairo, Egypt",Analyst/Research
Giza Arabia Systems,Head of Presales - EG - EBS," 
Cairo, Egypt",IT/Software Development
Giza Arabia Systems,Head of Presales - EG - EBS," 
Cairo, Egypt",Sales/Retail
Giza Arabia Systems,Head of Presales - EG - EBS," 
Cairo, Egypt",Engineering - Mechanical/Electrical
